key,en,es,ch,he

########################################
#### HOME HERO
########################################
hero-title, Master the art of professional locksmithing, Domina el arte de la cerrajería profesional, 掌握专业锁匠技艺, 

hero-description, Join thousands of students learning modern security technology with bilingual courses hands-on training and industry-recognized certifications., Únete a miles de estudiantes que aprenden tecnología de seguridad moderna con cursos bilingües formación práctica y certificaciones reconocidas por la industria. , 加入数千名学生的行列，通过双语课程、实践培训和行业认可的认证，学习现代安全技术, 

get-started, Get Started, Comience, 开始使用, 

########################################
#### HEADER PUBLIC
########################################
header-home, Home, Hogar, 家, 
header-register, Register, Registro, 登记, 
header-login, Login, Acceso, 登录, 

########################################
#### STATS
########################################
Students Trained, Students Trained, Estudiantes capacitados,,
Job Placement, Job Placement, Colocación laboral,,
Years Experience, Years Experience, Años de experiencia,,


########################################
#### CAROUSEL
########################################
career-switcher,Career Switcher, Cambio de carrera,,
carousel-p1,Someone leaving an office or retail job uses the program to learn residential and commercial locksmithing fundamentals. By following the structured lessons and practicing alongside the videos they build confidence handling basic service calls and entry-level jobs.,Quienes dejan un trabajo de oficina o en el sector minorista utilizan este programa para aprender los fundamentos de la cerrajería residencial y comercial. Siguiendo las lecciones estructuradas y practicando con los videos, adquieren la confianza necesaria para atender llamadas de servicio básicas y realizar trabajos de nivel inicial.,,

